80.12
0.400000
40.00  0.80
#offset(ppm)     Intensity     error
# G1 R2a: 16.0 R2b: 53.0 dw: 2.0
 119.394    0.464    0.006
 119.697    0.464    0.006
 120.000    0.475    0.006
 120.303    0.483    0.006
 120.606    0.487    0.006
 120.909    0.476    0.006
 121.212    0.478    0.006
 121.515    0.491    0.006
 121.818    0.493    0.006
 122.121    0.499    0.006
 122.424    0.489    0.006
 122.727    0.498    0.006
 123.030    0.506    0.006
 123.333    0.498    0.006
 123.636    0.498    0.006
 123.939    0.497    0.006
 124.242    0.498    0.006
 124.545    0.498    0.006
 124.848    0.487    0.006
 125.152    0.496    0.006
 125.455    0.498    0.006
 125.758    0.496    0.006
 126.061    0.497    0.006
 126.364    0.504    0.006
 126.667    0.503    0.006
 126.970    0.505    0.006
 127.273    0.498    0.006
 127.576    0.500    0.006
 127.879    0.504    0.006
 128.182    0.503    0.006
 128.485    0.507    0.006
 128.788    0.509    0.006
 129.091    0.500    0.006
 129.394    0.494    0.006
 129.697    0.497    0.006
 130.000    0.513    0.006
